k,topic,orig_x,orig_y,cluster
20,0,-0.00884856731766716,-0.016046211768566177,0
20,1,-0.02029620909017746,-0.006858092166615665,4
20,2,0.007374239770116033,0.04755175843844635,8
20,3,0.026273236087661033,-0.005244554669516789,3
20,4,-0.007654174207873738,-0.010515840659614986,9
20,5,0.019053257971768062,-0.015693172417407687,3
20,6,0.02036541121583111,-0.022008946182659753,3
20,7,0.06963236389921966,0.02738848874810169,8
20,8,-0.01060034555887656,-0.004644063381126669,9
20,9,-0.011775844546470807,-0.019653086607852557,0
20,10,0.02130752371679975,0.028512039084162506,8
20,11,0.0209059347461557,-0.015041223384105254,3
20,12,0.013558288704619585,-0.019452337737555815,3
20,13,0.01563300498892807,0.01513535264520263,8
20,14,0.019880493570303498,0.01675291887699982,8
20,15,-0.0071716687267077694,0.004574982894733742,9
20,16,0.022705067708954765,-0.0346418539036632,3
20,17,0.019118582266537686,0.0013338753879783812,3
20,18,0.016575645586162622,-0.004559192683782855,3
20,19,-0.007392620293831208,0.0017052392505701763,9
40,0,0.004182299015700352,-0.002642693026953572,9
40,1,-0.02729968604826906,-0.00974515767865209,4
40,2,-0.0025155613119463753,0.03759188599940859,7
40,3,-0.010275519697348835,0.0009108899790057825,9
40,4,-0.024124914323486454,-0.023318680480299617,4
40,5,-0.009809968428611418,0.006102731383287068,2
40,6,0.021282420518127062,-0.007102406288715889,3
40,7,-0.0018904759940222343,-0.0190061542710772,0
40,8,-0.007766798219836497,0.006686262035480832,2
40,9,0.021598009678019836,-0.008779597888896463,3
40,10,0.022846644658028662,0.011064797380201571,8
40,11,0.0018448178214618975,0.013317656173767994,2
40,12,-0.004093065089816859,-0.031918034310567375,0
40,13,0.0011550021952218092,-0.022386943235746835,0
40,14,-0.006885026609629227,0.013092829845792762,2
40,15,0.014422642028142498,-0.024113366470497843,3
40,16,0.02112305648499264,0.025304132650975267,8
40,17,-0.016583607275444962,0.05276716540198772,7
40,18,-0.013986764655914672,0.0025395882997358158,9
40,19,0.0006664892970085878,-0.01800568412476793,0
40,20,0.0004509363612564454,-0.034170714225692574,0
40,21,-0.0008994365406586451,0.017275341535534908,2
40,22,-0.01149988375774903,-0.006557303093692411,9
40,23,0.020134446341038913,-0.008127729092358576,3
40,24,-0.0063319387973785075,-0.0037188811996573166,9
40,25,-0.0020421605737943227,-0.02288376274691725,0
40,26,0.0007558207583350835,-0.002587443382744786,9
40,27,0.15050928191441074,0.004075618314588113,5
40,28,-0.008078941202250507,0.015323738783881262,2
40,29,-0.0062699014529639,0.036644799890986235,7
40,30,-0.008270742837491409,-0.01027573383914316,9
40,31,0.008209899452824628,-0.022879807966733178,0
40,32,-0.0022263653378199206,-0.005915838170354984,9
40,33,0.029816432322126607,0.047014390823114226,8
40,34,-0.012691567522048757,0.009199029390040763,2
40,35,-0.009093289552821546,0.007720310951333403,2
